,ID,Mark,Keep,Location,Pool_1,Pool_2,KG,NK,NG,G,K,Sex1,SL1_mm,mass1_gr,surv,Sex2,SL2_mm,mass2_gr,Date,Date2,Comments_1,Comments_2
1,CAI-1B,1B,1,CAI,1,1,0,1,0,1,0,J,10.17,0.022,1,F,14.47,0.062,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
2,CAI-1B2B,1B2B,1,CAI,1,1,0,1,0,1,0,M,17.56,0.079,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
3,CAI-1B2G,1B2G,1,CAI,1,1,0,1,0,1,0,M,18.84,0.128,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
4,CAI-1B2O,1B2O,1,CAI,1,1,0,1,0,1,0,M,18.36,0.099,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
5,CAI-1B2R,1B2R,1,CAI,1,1,0,1,0,1,0,M,16.66,0.077,1,M,17.21,0.106,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
6,CAI-1B2W,1B2W,1,CAI,1,1,0,1,0,1,0,M,17.79,0.094,1,M,17.39,0.112,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
7,CAI-1B2Y,1B2Y,1,CAI,1,1,0,1,0,1,0,M,20.21,0.138,1,M,17.59,0.111,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
8,CAI-1B5B,1B5B,1,CAI,1,1,0,1,0,1,0,F,24.41,0.252,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
9,CAI-1B5G,1B5G,1,CAI,1,1,0,1,0,1,0,F,21.02,0.188,1,F,21.18,0.201,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
10,CAI-1B5O,1B5O,1,CAI,1,1,0,1,0,1,0,F,14.8,0.061,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
11,CAI-1B5P,1B5P,1,CAI,1,3,0,1,0,1,0,F,23.2,0.191,1,F,18.89,0.143,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
12,CAI-1B5R,1B5R,1,CAI,1,1,0,1,0,1,0,F,18.61,0.106,1,F,19.39,0.157,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
13,CAI-1B5W,1B5W,1,CAI,1,1,0,1,0,1,0,F,16.22,0.089,1,F,21.64,0.203,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
14,CAI-1B5Y,1B5Y,1,CAI,1,3,0,1,0,1,0,F,20.16,0.149,1,F,19.52,0.155,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
15,CAI-1G,1G,1,CAI,1,1,0,1,0,1,0,J,11.51,0.025,1,J,14.98,0.088,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
16,CAI-1G2B,1G2B,1,CAI,1,1,0,1,0,1,0,M,18.63,0.101,1,M,17.51,0.109,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
17,CAI-1G2G,1G2G,1,CAI,1,1,0,1,0,1,0,J,17.87,0.088,1,M,15.62,0.098,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,DIED BEFORE PROCCESSING,
18,CAI-1G2O,1G2O,1,CAI,1,1,0,1,0,1,0,M,18.96,0.126,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
19,CAI-1G2P,1G2P,1,CAI,1,1,0,1,0,1,0,M,20.09,0.132,1,M,18.33,0.141,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
20,CAI-1G2R,1G2R,1,CAI,1,1,0,1,0,1,0,M,18.6,0.115,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
21,CAI-1G2W,1G2W,1,CAI,1,1,0,1,0,1,0,M,17.16,0.081,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
22,CAI-1G2Y,1G2Y,1,CAI,1,1,0,1,0,1,0,M,20.71,0.157,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
23,CAI-1G5B,1G5B,1,CAI,1,1,0,1,0,1,0,F,20.95,0.165,1,F,23.9,0.269,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
24,CAI-1G5O,1G5O,1,CAI,1,1,0,1,0,1,0,F,21.56,0.192,1,F,21.91,0.243,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
25,CAI-1G5P,1G5P,1,CAI,1,1,0,1,0,1,0,F,21.83,0.223,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
26,CAI-1G5R,1G5R,1,CAI,1,1,0,1,0,1,0,F,25.05,0.208,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
27,CAI-1G5W,1G5W,1,CAI,1,1,0,1,0,1,0,F,21.08,0.235,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
28,CAI-1G5Y,1G5Y,1,CAI,1,1,0,1,0,1,0,F,19.24,0.137,1,F,21.77,0.206,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
29,CAI-1O2B,1O2B,1,CAI,1,1,0,1,0,1,0,M,18.27,0.102,1,M,17.89,0.134,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
30,CAI-1O2G,1O2G,1,CAI,1,1,0,1,0,1,0,M,17.97,0.104,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
31,CAI-1O2O,1O2O,1,CAI,1,1,0,1,0,1,0,M,18.9,0.119,0,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
