ID,Mark,Keep,Location,Pool_1,Pool_2,KG,NK,NG,sp,Sex1,SL1_mm,mass1_gr,surv,Sex2,SL2_mm,mass2_gr,ReleaseDate,Date,Comments_1,Comments_2
CAI-,,0,CAI,1,,0,1,0,Killifish,M,72.79,2.846,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,M,59.54,1.559,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,M,60.51,2.096,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,M,54.47,1.574,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,M,49.65,1.152,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,M,65.14,2.545,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,48.53,1.121,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,30.17,0.246,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,30.45,0.24,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,28.08,0.177,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,26.79,0.173,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,29.93,0.249,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,29.3,0.21,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,27.53,0.162,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,25.46,0.13,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,30.45,0.242,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,26.17,0.162,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,27.72,0.158,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,26.02,0.163,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,24.99,0.154,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,25.14,0.162,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,20.68,0.081,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,22.9,0.111,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
CAI-,,0,CAI,1,,0,1,0,Killifish,F,20.03,0.079,,,,,2017-04-05T00:00:00Z,2017-05-03T00:00:00Z,,
