site,ID,Mark,Keep,Location,Pool_1,Pool_2,KG,NK,NG,sp,SL1_mm,mass1_gr,Sex1,surv,SL2_mm,mass2_gr,Sex2,Repr,Recr,Rcsz,N_egg_embryo,egg_mg1,egg_mg2,dry_gr1,dry_gr2,area,volume,canopy,BiomassG1,BiomassG2,BiomassK1,BiomassK2,G1s,G2s,K1s,K2s,Date,Date2,Comments_1,Comments_2
CAI-2,CAI-1B,1B,1,CAI,2,2,0,0,1,K,21.25,0.068,J,1,32.18,0.273,F,1,2,,1,0.739,0.39,0.193,0.178,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-2,CAI-1B3B,1B3B,1,CAI,2,2,0,0,1,K,43.78,0.747,F,0,,,,,,,,,,,,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,VERY CLOSE,
CAI-2,CAI-1B3R5B,1B3R5B,1,CAI,2,2,0,0,1,K,59.19,2.082,M,1,60.99,2.251,M,0,0,,,,,,,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,1B HARD TO SEE,
CAI-2,CAI-1B3R5R,1B3R5R,1,CAI,2,2,0,0,1,K,51.63,1.077,F,1,53.72,1.357,F,1,2,,2,2.524,2.154,0.263,0.249,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-2,CAI-1B5B,1B5B,1,CAI,2,2,0,0,1,K,31.28,0.273,J,1,32.74,0.287,M,0,0,,,,,0.059,0.055,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-2,CAI-1G,1G,1,CAI,2,2,0,0,1,K,20.47,0.07,J,1,23.86,0.098,J,0,0,,,,,,,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-2,CAI-1G3G,1G3G,1,CAI,2,3,0,0,1,K,30.3,0.222,J,1,29.56,0.152,F,1,1,,1,1.717,1.008,0.324,0.311,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-2,CAI-1R,1R,1,CAI,2,2,0,0,1,K,12.41,0.015,J,0,,,,,,,,,,,,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-2,CAI-1R3G,1R3G,1,CAI,2,3,0,0,1,K,22.94,0.087,J,1,26.15,0.258,J,0,0,,,,,,,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-2,CAI-1R3R5B,1R3R5B,1,CAI,2,2,0,0,1,K,62.45,1.6771,F,1,62.26,1.405,F,0,0,,,,,0.269,0.256,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-2,CAI-1R3R5G,1R3R5G,1,CAI,2,2,0,0,1,K,79.13,4.827,M,0,,,,,,,,,,,,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,5G small,
CAI-2,CAI-1R3R5O,1R3R5O,1,CAI,2,2,0,0,1,K,80.82,5.168,F,1,81.43,5.163,F,1,15,,14,13.104,10.375,1.097,1.057,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-2,CAI-1R3R5P,1R3R5P,1,CAI,2,2,0,0,1,K,82.06,4.911,M,0,,,,,,,,,,,,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-2,CAI-1R3R5R,1R3R5R,1,CAI,2,2,0,0,1,K,81,4,F,1,81.45,3.993,F,0,0,,,,,0.826,0.789,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-2,CAI-1R3R5W,1R3R5W,1,CAI,2,2,0,0,1,K,67.14,2.886,M,0,,,,,,,,,,,,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-2,CAI-1R3R5Y,1R3R5Y,1,CAI,2,2,0,0,1,K,67.11,2.485,M,0,,,,,,,,,,,,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,5Y small,
CAI-2,CAI-3G,3G,1,CAI,2,2,0,0,1,K,16.46,0.028,J,0,,,,,,,,,,,,17.55,1.9,29.7,4.348,1.509,30.6231,20.618,-0.61020327715981,-1.03283320711801,0.1782188481279,-0.252067957790587,2017-04-05,2017-05-03,,
CAI-3,CAI-1B3G,1B3G,1,CAI,3,3,1,0,0,K,21.95,0.079,J,0,,,,,,,,,,,,15.74,2.24,25,12.696,10.739,19.17,18.779,1.20297631210134,0.54952526885392,-0.602709619306408,-0.353339362038377,2017-04-05,2017-05-03,,
CAI-3,CAI-1G3B,1G3B,1,CAI,3,3,1,0,0,K,62.2,2.216,M,1,63.81,2.371,M,0,0,,,,,,,15.74,2.24,25,12.696,10.739,19.17,18.779,1.20297631210134,0.54952526885392,-0.602709619306408,-0.353339362038377,2017-04-05,2017-05-03,,
