Guppy,,,
Parameters,Survival (logit),Growth,Fecundity
b_Intercept,"0.863 [-0.05, 1.771]","0.054 [-0.062, 0.182]","0.357 [-0.28, 1.052]"
b_z,"-0.089 [-0.48, 0.305]","-0.073 [-0.087, -0.059]","0.261 [0.174, 0.356]"
b_NK,"0.639 [0.041, 1.186]","0.006 [-0.041, 0.052]","0.667 [0.184, 1.143]"
b_z2,"0.001 [-0.008, 0.012]","0.001 [0.001, 0.002]",
b_z.NK,"0.085 [-0.03, 0.201]","-0.002 [-0.007, 0.002]","0.061 [-0.063, 0.182]"
b_FishBiom,"0.712 [0.169, 1.288]",,"0.731 [0.216, 1.23]"
b_Density,,"-0.011 [-0.04, 0.02]",
b_canopy,,"-0.028 [-0.039, -0.016]",
sigma,,"0.068 [0.062, 0.074]",
sd_stream__Intercept,"0.548 [0.031, 1.729]","0.079 [0.021, 0.268]","0.32 [0, 1.205]"
r_stream.1.Intercept.,"-0.298 [-1.18, 0.557]","0.004 [-0.125, 0.117]","-0.158 [-0.878, 0.437]"
r_stream.2.Intercept.,"-0.101 [-0.995, 0.785]","0.069 [-0.053, 0.19]","0.014 [-0.641, 0.721]"
r_stream.3.Intercept.,"0.482 [-0.335, 1.465]","-0.021 [-0.152, 0.094]","-0.017 [-0.681, 0.62]"
r_stream.4.Intercept.,"0.036 [-0.803, 1.09]","-0.057 [-0.187, 0.057]","0.211 [-0.282, 1.064]"
shape,,,"0.702 [0.472, 0.973]"
,,,
,,,
,,,
,,,
,,,
Killifish,,,
b_Intercept,"0.292 [-0.567, 1.045]","0.058 [-0.041, 0.159]","-2.03 [-4.769, 0.273]"
b_z,"0.016 [-0.01, 0.042]","-0.015 [-0.02, -0.01]","0.074 [0.026, 0.134]"
b_NK,"-0.227 [-0.979, 0.656]","0.035 [-0.089, 0.168]",
b_z2,,,
b_z.NK,"-0.005 [-0.036, 0.025]","-0.001 [-0.006, 0.005]",
b_bz2_Intercept,,"-0.002 [-0.003, 0]",
b_bz2_NG,,"0 [-0.001, 0.002]",
b_b0_FishBiom,,"-0.032 [-0.112, 0.037]",
b_Density,,"-0.019 [-0.045, 0.008]","-1.879 [-3.82, -0.248]"
b_canopy,,"-0.007 [-0.021, 0.008]",
sigma,,"0.062 [0.055, 0.069]",
sd_stream__Intercept,"0.254 [0, 1.011]","0.055 [0.008, 0.19]","1.58 [0.009, 3.707]"
r_stream.1.Intercept.,"-0.025 [-0.751, 0.575]","0.012 [-0.082, 0.102]","0.69 [-1.259, 3.507]"
r_stream.2.Intercept.,"-0.038 [-0.722, 0.456]","0.043 [-0.041, 0.143]","0.986 [-1.19, 3.465]"
r_stream.3.Intercept.,"0.02 [-0.45, 0.691]","-0.011 [-0.105, 0.079]","-1.429 [-4.326, 0.548]"
r_stream.4.Intercept.,"0.103 [-0.315, 0.816]","-0.04 [-0.137, 0.048]","0.102 [-2.506, 2.512]"
shape,,,"0.074 [0.029, 0.147]"
b_omega_Intercept,,"29.485 [26.483, 32.599]",
