Parameters,median,l99,l95,l68,u68,u95,u99,PP
b_Intercept,0.357,-0.741,-0.28,0.114,0.622,1.052,1.603,91.075
b_z,0.261,0.125,0.174,0.213,0.303,0.356,0.409,100.0
b_NK,0.667,-0.097,0.184,0.432,0.897,1.143,1.389,99.675
b_FishBiom,0.731,-0.077,0.216,0.482,0.989,1.23,1.497,99.8
b_z.NK,0.061,-0.136,-0.063,-0.007,0.118,0.182,0.257,83.25
sd_stream__Intercept,0.32,0.0,0.0,0.0,0.459,1.205,2.138,100.0
shape,0.702,0.379,0.472,0.562,0.805,0.973,1.211,100.0
r_stream.1.Intercept.,-0.158,-1.35,-0.878,-0.407,0.054,0.437,0.868,21.975
r_stream.2.Intercept.,0.014,-1.276,-0.641,-0.21,0.267,0.721,1.332,54.05
r_stream.3.Intercept.,-0.017,-1.218,-0.681,-0.24,0.203,0.62,1.296,44.325
r_stream.4.Intercept.,0.211,-0.801,-0.282,-0.058,0.467,1.064,1.601,82.025
lprior,-7.967,-8.79,-8.436,-8.147,-7.714,-7.537,-7.368,0.0
lp__,-424.933,-437.016,-431.885,-427.598,-421.957,-420.227,-418.888,0.0
