Parameters,median,l99,l95,l68,u68,u95,u99,PP
b_Intercept,-6.786,-17.401,-12.508,-8.914,-3.999,-2.442,-0.816,0.075
b_z,0.088,0.009,0.034,0.055,0.114,0.16,0.233,100.0
b_NG,16.0,-0.121,3.026,8.224,21.683,33.486,52.794,99.875
b_FishBiom,-9.848,-32.551,-20.86,-13.527,-5.445,-2.337,-0.423,0.05
b_Density,-4.874,-13.193,-9.094,-6.398,-3.096,-1.692,-0.091,0.0
sd_stream__Intercept,1.05,0.0,0.0,0.0,1.534,3.568,7.431,100.0
shape,0.087,0.019,0.026,0.05,0.116,0.166,0.259,100.0
r_stream.1.Intercept.,0.199,-5.655,-1.736,-0.566,1.129,3.045,4.484,64.7
r_stream.2.Intercept.,-0.45,-10.63,-4.542,-1.55,0.464,1.469,3.162,25.35
r_stream.3.Intercept.,-0.021,-4.831,-2.417,-0.949,0.818,2.329,5.18,47.375
r_stream.4.Intercept.,0.089,-5.375,-2.277,-0.653,1.092,2.675,4.676,57.05
lprior,-5.653,-8.794,-7.027,-6.131,-5.094,-4.611,-4.198,0.0
lp__,-92.624,-103.804,-98.32,-95.282,-89.784,-87.572,-86.996,0.0
