Parameters,median,l99,l95,l68,u68,u95,u99,PP
b_Intercept,0.054,-0.279,-0.083,0.013,0.101,0.199,0.63,87.075
b_z,-0.075,-0.105,-0.095,-0.086,-0.064,-0.053,-0.044,0.0
b_z2,0.002,0.001,0.001,0.001,0.002,0.002,0.002,100.0
b_NK,0.008,-0.063,-0.038,-0.016,0.03,0.053,0.076,63.15
b_Density,-0.012,-0.058,-0.039,-0.026,0.003,0.019,0.031,21.775
b_canopy,-0.028,-0.047,-0.04,-0.034,-0.022,-0.016,-0.01,0.0
b_z.NK,-0.0,-0.038,-0.027,-0.013,0.015,0.029,0.041,49.775
b_z2.NK,-0.0,-0.001,-0.001,-0.0,0.0,0.001,0.001,43.175
sd_stream__Intercept,0.08,0.018,0.02,0.032,0.111,0.292,0.998,100.0
sigma,0.068,0.06,0.062,0.065,0.07,0.073,0.077,100.0
r_stream.1.Intercept.,0.004,-0.567,-0.128,-0.04,0.046,0.154,0.343,53.575
r_stream.2.Intercept.,0.069,-0.508,-0.062,0.027,0.113,0.22,0.395,92.075
r_stream.3.Intercept.,-0.021,-0.597,-0.154,-0.066,0.02,0.13,0.309,29.5
r_stream.4.Intercept.,-0.058,-0.56,-0.205,-0.101,-0.013,0.079,0.346,10.725
lprior,-4.367,-4.481,-4.377,-4.367,-4.366,-4.366,-4.366,0.0
lp__,345.714,334.504,339.45,343.365,349.154,350.892,352.656,100.0
