Parameters,median,l99,l95,l68,u68,u95,u99,PP
b_b0_Intercept,0.058,-0.144,-0.041,0.022,0.101,0.159,0.246,91.925
b_b0_NG,0.035,-0.168,-0.089,-0.03,0.101,0.168,0.229,69.7
b_b0_FishBiom,-0.032,-0.141,-0.112,-0.068,0.01,0.037,0.097,20.425
b_b0_Density,-0.019,-0.062,-0.045,-0.033,-0.005,0.008,0.021,9.0
b_b0_canopy,-0.007,-0.029,-0.021,-0.015,0.0,0.008,0.016,17.55
b_bz1_Intercept,-0.015,-0.024,-0.02,-0.017,-0.012,-0.01,-0.008,0.0
b_bz1_NG,-0.001,-0.009,-0.006,-0.004,0.002,0.005,0.008,39.05
b_bz2_Intercept,-0.002,-0.003,-0.003,-0.002,-0.001,-0.0,0.0,0.95
b_bz2_NG,0.0,-0.002,-0.001,-0.0,0.001,0.002,0.003,71.9
b_omega_Intercept,29.485,25.705,26.483,27.909,30.95,32.599,35.181,100.0
sd_stream__b0_Intercept,0.055,0.001,0.008,0.022,0.08,0.19,0.412,100.0
sigma,0.062,0.052,0.055,0.058,0.065,0.069,0.075,100.0
r_stream__b0.1.Intercept.,0.012,-0.179,-0.082,-0.017,0.049,0.102,0.204,65.875
r_stream__b0.2.Intercept.,0.043,-0.139,-0.041,0.007,0.077,0.143,0.255,90.525
r_stream__b0.3.Intercept.,-0.011,-0.219,-0.105,-0.042,0.022,0.079,0.168,34.325
r_stream__b0.4.Intercept.,-0.04,-0.235,-0.137,-0.07,-0.005,0.048,0.152,11.7
lprior,-22.439,-23.093,-22.763,-22.568,-22.282,-22.186,-22.107,0.0
lp__,175.931,163.343,169.058,173.157,179.487,182.055,184.164,100.0
z_1.1.1.,0.232,-1.374,-0.885,-0.393,0.757,1.407,2.203,65.875
z_1.1.2.,0.804,-0.944,-0.39,0.094,1.418,2.236,3.046,90.525
z_1.1.3.,-0.221,-2.013,-1.285,-0.706,0.395,0.88,1.573,34.325
z_1.1.4.,-0.769,-2.834,-2.059,-1.407,-0.11,0.433,0.947,11.7
