Parameters,median,l99,l95,l68,u68,u95,u99,PP,Model
b_Intercept,0.63,-1.163,-0.447,0.256,1.031,1.482,2.403,91.7,Survial
b_z,-0.035,-0.146,-0.106,-0.071,0.004,0.039,0.075,16.825,Survial
b_NK,0.332,-0.387,-0.142,0.097,0.576,0.796,1.073,91.925,Survial
b_canopy,-0.283,-0.764,-0.59,-0.42,-0.107,0.021,0.171,3.3,Survial
b_z.NK,0.081,-0.074,-0.027,0.019,0.134,0.194,0.239,91.875,Survial
sd_stream__Intercept,0.673,0.071,0.14,0.273,0.962,1.802,3.354,100.0,Survial
r_stream.1.Intercept.,-0.306,-2.165,-1.248,-0.72,0.048,0.686,1.45,20.525,Survial
r_stream.2.Intercept.,-0.213,-1.906,-1.179,-0.623,0.191,0.794,1.658,28.625,Survial
r_stream.3.Intercept.,0.68,-1.009,-0.179,0.257,1.126,1.811,2.72,95.425,Survial
r_stream.4.Intercept.,-0.098,-1.994,-1.044,-0.511,0.333,0.937,1.73,39.65,Survial
lprior,-3.263,-4.301,-3.605,-3.316,-3.177,-3.165,-3.161,0.0,Survial
lp__,-267.734,-278.397,-273.152,-270.117,-265.326,-263.565,-262.71,0.0,Survial
b_Intercept,0.049,-0.366,-0.063,0.005,0.088,0.193,0.34,87.175,Growth
b_z,-0.074,-0.095,-0.088,-0.081,-0.067,-0.06,-0.054,0.0,Growth
b_z2,0.001,0.001,0.001,0.001,0.002,0.002,0.002,100.0,Growth
b_NK,0.023,-0.004,0.006,0.015,0.033,0.039,0.049,99.625,Growth
b_canopy,-0.027,-0.045,-0.038,-0.032,-0.02,-0.015,-0.008,0.025,Growth
b_z.NK,-0.002,-0.009,-0.006,-0.004,-0.0,0.002,0.004,13.8,Growth
sd_stream__Intercept,0.076,0.019,0.021,0.033,0.107,0.269,1.065,100.0,Growth
sigma,0.068,0.06,0.062,0.065,0.071,0.074,0.078,100.0,Growth
r_stream.1.Intercept.,0.005,-0.295,-0.137,-0.034,0.049,0.119,0.434,54.925,Growth
r_stream.2.Intercept.,0.065,-0.233,-0.068,0.021,0.105,0.19,0.473,90.675,Growth
r_stream.3.Intercept.,-0.02,-0.339,-0.167,-0.06,0.023,0.09,0.362,29.975,Growth
r_stream.4.Intercept.,-0.056,-0.391,-0.201,-0.101,-0.015,0.059,0.336,10.475,Growth
lprior,-4.366,-4.491,-4.376,-4.367,-4.366,-4.366,-4.366,0.0,Growth
lp__,346.109,335.144,340.403,343.548,348.949,351.25,352.582,100.0,Growth
b_Intercept,0.687,-1.769,-0.308,0.325,1.031,1.531,2.376,94.15,Fecundity
b_z,1.197,0.646,0.777,0.993,1.399,1.594,1.82,100.0,Fecundity
b_z2,-0.025,-0.039,-0.035,-0.03,-0.02,-0.015,-0.009,0.0,Fecundity
b_NK,-0.604,-2.3,-1.579,-1.092,-0.096,0.418,0.824,10.25,Fecundity
b_Density,-0.704,-1.819,-1.402,-1.067,-0.404,-0.081,0.202,1.425,Fecundity
b_canopy,-0.562,-1.0,-0.847,-0.707,-0.422,-0.28,-0.158,0.0,Fecundity
b_z.NK,0.077,-0.097,-0.03,0.026,0.134,0.178,0.242,91.825,Fecundity
sd_stream__Intercept,0.491,0.001,0.001,0.147,0.727,1.646,4.186,100.0,Fecundity
shape,0.852,0.487,0.57,0.686,1.014,1.234,1.574,100.0,Fecundity
r_stream.1.Intercept.,-0.339,-1.978,-1.205,-0.628,0.016,0.501,2.029,13.825,Fecundity
r_stream.2.Intercept.,0.332,-1.474,-0.386,-0.063,0.639,1.422,2.863,85.35,Fecundity
r_stream.3.Intercept.,0.034,-1.572,-0.816,-0.262,0.363,0.944,2.533,54.275,Fecundity
r_stream.4.Intercept.,0.062,-1.68,-0.851,-0.287,0.386,0.959,2.552,58.475,Fecundity
lprior,-8.108,-9.44,-8.629,-8.331,-7.855,-7.613,-7.401,0.0,Fecundity
lp__,-412.289,-423.007,-418.315,-414.905,-409.364,-407.476,-406.048,0.0,Fecundity
