Parameters,median,l99,l95,l68,u68,u95,u99,PP,Model
b_Intercept,-0.095,-2.711,-1.256,-0.456,0.462,1.038,1.504,41.6,Survial
b_z,0.107,0.014,0.041,0.072,0.138,0.173,0.2,99.9,Survial
b_z2,-0.001,-0.002,-0.002,-0.001,-0.001,-0.0,-0.0,0.1,Survial
b_NG,-0.151,-1.486,-0.904,-0.587,0.203,0.656,0.946,34.7,Survial
b_z.NG,-0.006,-0.048,-0.033,-0.019,0.009,0.02,0.035,34.5,Survial
sd_stream__Intercept,0.36,0.001,0.001,0.001,0.551,1.707,5.073,100.0,Survial
r_stream.1.Intercept.,-0.011,-1.836,-0.843,-0.289,0.274,1.319,2.27,46.2,Survial
r_stream.2.Intercept.,-0.112,-2.079,-1.439,-0.428,0.119,0.522,2.424,28.0,Survial
r_stream.3.Intercept.,-0.0,-1.566,-0.696,-0.263,0.252,1.261,2.455,49.7,Survial
r_stream.4.Intercept.,0.194,-1.059,-0.366,-0.108,0.499,1.809,2.873,79.6,Survial
lprior,-3.184,-4.93,-3.587,-3.211,-3.149,-3.143,-3.143,0.0,Survial
lp__,-172.934,-182.754,-178.568,-174.905,-169.572,-168.228,-167.414,0.0,Survial
b_b0_Intercept,0.07,-0.142,-0.035,0.03,0.109,0.171,0.261,93.675,Growth
b_b0_NG,-0.012,-0.069,-0.049,-0.032,0.006,0.025,0.046,26.15,Growth
b_b0_Density,-0.014,-0.048,-0.038,-0.026,-0.003,0.007,0.022,10.6,Growth
b_bz1_Intercept,-0.015,-0.024,-0.021,-0.018,-0.013,-0.011,-0.008,0.0,Growth
b_bz1_NG,0.0,-0.009,-0.005,-0.003,0.003,0.006,0.009,51.55,Growth
b_bz2_Intercept,-0.002,-0.004,-0.003,-0.002,-0.001,-0.0,0.0,0.6,Growth
b_bz2_NG,0.001,-0.002,-0.001,-0.0,0.001,0.002,0.003,81.7,Growth
b_omega_Intercept,29.547,25.251,26.717,28.094,31.07,32.815,35.002,100.0,Growth
sd_stream__b0_Intercept,0.064,0.015,0.017,0.026,0.09,0.21,0.486,100.0,Growth
sigma,0.062,0.052,0.055,0.058,0.065,0.069,0.074,100.0,Growth
r_stream__b0.1.Intercept.,0.009,-0.201,-0.078,-0.03,0.045,0.121,0.224,61.6,Growth
r_stream__b0.2.Intercept.,0.054,-0.129,-0.04,0.015,0.087,0.158,0.299,91.875,Growth
r_stream__b0.3.Intercept.,-0.013,-0.204,-0.12,-0.05,0.021,0.079,0.222,32.975,Growth
r_stream__b0.4.Intercept.,-0.049,-0.247,-0.148,-0.086,-0.015,0.051,0.176,9.925,Growth
lprior,-17.388,-18.012,-17.733,-17.514,-17.234,-17.147,-17.045,0.0,Growth
lp__,181.85,168.994,175.104,179.066,184.979,187.332,188.933,100.0,Growth
z_1.1.1.,0.151,-1.622,-0.965,-0.365,0.713,1.226,1.66,61.6,Growth
z_1.1.2.,0.863,-0.724,-0.435,0.171,1.511,2.238,3.362,91.875,Growth
z_1.1.3.,-0.232,-1.809,-1.344,-0.775,0.289,0.791,1.387,32.975,Growth
z_1.1.4.,-0.793,-2.878,-2.148,-1.362,-0.066,0.446,1.186,9.925,Growth
b_Intercept,-2.003,-8.227,-5.015,-3.484,-0.774,1.135,3.122,7.4,Fecundity
b_z,0.075,-0.003,0.023,0.046,0.102,0.143,0.2,99.8,Fecundity
b_NG,-0.155,-3.357,-2.315,-1.339,0.891,2.338,4.91,44.775,Fecundity
b_Density,-1.864,-5.252,-3.895,-2.683,-0.856,0.023,0.683,2.0,Fecundity
sd_stream__Intercept,1.664,0.002,0.002,0.568,2.399,4.063,6.833,100.0,Fecundity
shape,0.069,0.016,0.027,0.041,0.094,0.138,0.197,100.0,Fecundity
r_stream.1.Intercept.,0.739,-3.777,-1.602,-0.372,1.938,3.769,6.891,75.5,Fecundity
r_stream.2.Intercept.,0.952,-2.807,-1.308,-0.3,1.908,3.878,6.598,84.05,Fecundity
r_stream.3.Intercept.,-1.471,-7.902,-4.457,-2.45,0.096,0.735,2.646,10.175,Fecundity
r_stream.4.Intercept.,0.111,-4.84,-2.771,-0.982,1.284,2.7,6.088,54.9,Fecundity
lprior,-5.661,-8.872,-6.992,-6.147,-5.053,-4.545,-4.258,0.0,Fecundity
lp__,-95.466,-105.429,-101.7,-97.768,-92.196,-90.908,-89.88,0.0,Fecundity
