Parameters,median,l99,l95,l68,u68,u95,u99,PP
b_Intercept,0.863,-2.163,-0.05,0.476,1.212,1.771,2.724,96.75
b_z,-0.089,-0.663,-0.48,-0.289,0.105,0.305,0.491,32.3
b_NK,0.639,-0.165,0.041,0.331,0.912,1.186,1.558,98.55
b_z2,0.001,-0.013,-0.008,-0.004,0.007,0.012,0.017,61.1
b_FishBiom,0.712,-0.123,0.169,0.438,0.983,1.288,1.598,99.35
b_z.NK,0.085,-0.09,-0.03,0.028,0.146,0.201,0.264,92.675
sd_stream__Intercept,0.548,0.001,0.031,0.193,0.812,1.729,4.949,100.0
r_stream.1.Intercept.,-0.298,-2.016,-1.18,-0.635,0.044,0.557,2.753,18.0
r_stream.2.Intercept.,-0.101,-1.884,-0.995,-0.457,0.242,0.785,2.992,37.15
r_stream.3.Intercept.,0.482,-1.287,-0.335,0.112,0.85,1.465,3.547,92.875
r_stream.4.Intercept.,0.036,-1.646,-0.803,-0.311,0.388,1.09,3.231,54.8
lprior,-3.249,-5.005,-3.565,-3.298,-3.181,-3.158,-3.158,0.0
lp__,-267.194,-278.681,-273.469,-269.495,-264.262,-262.722,-261.63,0.0
