Parameters,median,l99,l95,l68,u68,u95,u99,PP
b_Intercept,0.292,-1.007,-0.567,-0.043,0.711,1.045,1.394,76.4
b_z,0.016,-0.016,-0.01,0.003,0.028,0.042,0.055,89.9
b_NG,-0.227,-1.402,-0.979,-0.629,0.168,0.656,0.86,29.0
b_z.NG,-0.005,-0.048,-0.036,-0.022,0.01,0.025,0.042,37.7
sd_stream__Intercept,0.254,0.0,0.0,0.0,0.388,1.011,2.168,100.0
r_stream.1.Intercept.,-0.025,-1.305,-0.751,-0.31,0.164,0.575,1.041,42.3
r_stream.2.Intercept.,-0.038,-1.17,-0.722,-0.258,0.122,0.456,0.885,38.1
r_stream.3.Intercept.,0.02,-0.819,-0.45,-0.148,0.23,0.691,1.381,56.2
r_stream.4.Intercept.,0.103,-0.627,-0.315,-0.094,0.31,0.816,1.424,73.6
lprior,-3.173,-3.644,-3.291,-3.187,-3.146,-3.142,-3.144,0.0
lp__,-177.3,-187.332,-183.376,-179.503,-174.696,-173.46,-172.127,0.0
