"","Mean","lC","uC","PP","var","sp"
"b_Intercept",-0.185,-1.369,0.837,36.2,"Survival","Killifish"
"b_z",0.106,0.009,0.191,98.85,"Survival","Killifish"
"b_Male",1.628,-0.797,4.096,91.45,"Survival","Killifish"
"b_GR",-0.175,-1.262,0.845,37.2,"Survival","Killifish"
"b_z2",-0.001,-0.002,0,6.85,"Survival","Killifish"
"b_Density",0.029,-0.617,0.637,52.575,"Survival","Killifish"
"b_canopy",-0.013,-0.417,0.416,47.7,"Survival","Killifish"
"b_z:Male",-0.071,-0.148,0.003,2.5,"Survival","Killifish"
"b_z:GR",0,-0.047,0.045,50.075,"Survival","Killifish"
"b_Male:GR",0.079,-2.844,3.102,52.275,"Survival","Killifish"
"b_z:Male:GR",-0.013,-0.106,0.083,39.35,"Survival","Killifish"
"sd_stream__Intercept",0.701,0.003,1.82,100,"Survival","Killifish"
"r_stream[1,Intercept]",0.041,-0.906,1.148,52.75,"Survival","Killifish"
"r_stream[2,Intercept]",-0.384,-1.579,0.422,17.65,"Survival","Killifish"
"r_stream[3,Intercept]",-0.09,-1.045,0.902,41.4,"Survival","Killifish"
"b_b0_Intercept",0.109,-0.014,0.265,95.675,"Growth","Killifish"
"b_b0_GR",-0.026,-0.083,0.023,15.65,"Growth","Killifish"
"b_b0_Male",-0.014,-0.06,0.026,25.15,"Growth","Killifish"
"b_b0_Density",-0.013,-0.035,0.013,15.975,"Growth","Killifish"
"b_b0_canopy",-0.007,-0.024,0.009,19.875,"Growth","Killifish"
"b_b0_GR:Male",0.018,-0.034,0.067,75.25,"Growth","Killifish"
"b_bz1_Intercept",-0.049,-5.399,4.376,11.8,"Growth","Killifish"
"b_bz1_GR",-0.074,-5.584,4.374,35.425,"Growth","Killifish"
"b_bz2_Intercept",-0.002,-0.004,0,0.475,"Growth","Killifish"
"b_bz2_GR",0.001,-0.001,0.002,78.75,"Growth","Killifish"
"b_omega_Intercept",25.457,7.64,35.258,98.925,"Growth","Killifish"
"sd_stream__b0_Intercept",0.08,0.008,0.19,100,"Growth","Killifish"
"sigma",0.066,0.056,0.079,100,"Growth","Killifish"
"r_stream__b0[1,Intercept]",0.012,-0.101,0.101,62.725,"Growth","Killifish"
"r_stream__b0[2,Intercept]",0.052,-0.041,0.156,91.125,"Growth","Killifish"
"r_stream__b0[3,Intercept]",-0.019,-0.134,0.069,27.225,"Growth","Killifish"
"r_stream__b0[4,Intercept]",-0.041,-0.154,0.049,13.3,"Growth","Killifish"
"lprior",-35.774,-36.931,-35.125,0,"Growth","Killifish"
"lp__",155.565,129.949,168.726,100,"Growth","Killifish"
"z_1[1,1]",0.197,-0.877,1.329,62.725,"Growth","Killifish"
"b_Intercept1",-3.755,-9.606,1.451,7.2,"Fecundity","Killifish"
"b_z1",0.232,-0.092,0.6,93.05,"Fecundity","Killifish"
"b_z21",0,-0.003,0.003,38.15,"Fecundity","Killifish"
"b_GR1",1.718,-3.355,6.646,76.325,"Fecundity","Killifish"
"b_Density1",-1.569,-4.181,1.115,10.65,"Fecundity","Killifish"
"b_canopy1",-1.84,-5.348,1.861,15.275,"Fecundity","Killifish"
"b_z:GR1",-0.119,-0.327,0.053,8.575,"Fecundity","Killifish"
"sd_stream__Intercept1",2.815,0.002,5.971,100,"Fecundity","Killifish"
"shape",0.1,0.029,0.188,100,"Fecundity","Killifish"
"r_stream[1,Intercept]1",2.096,-1.13,6.572,86.85,"Fecundity","Killifish"
"r_stream[2,Intercept]1",1.951,-1.166,5.795,89,"Fecundity","Killifish"
"r_stream[3,Intercept]1",-2.849,-7.775,0.79,6.975,"Fecundity","Killifish"
